time,open,high,low,close,bb1 Upper,bb1 Lower,SMA 200,SMA 60,SMA 20,IT_High,IT_Low,LT_High,LT_Low,Market_Struct,BOS_Count,PivHigh_Dist,PivLow_Dist,Divergence,Volume,Volume MA, rsi, rsi2 ,ADX,ATR,ATR2,ATR3,SqueezeState,MACD,Signal
2025-07-10T20:00:00+09:00,111049.80 ,111139.30 ,110924.40 ,110983.80 ,112178.8771,109485.8529,108749.8595,109339.59,110832.365,,,,,1,5,0.49 ,2.27 ,0,946,3619,59.45 ,58.14 ,46.36 ,0.22 ,0.73 ,1.37 ,-1,470.65 ,579.06 
2025-07-10T21:00:00+09:00,110983.80 ,110983.80 ,110702.80 ,110822.10 ,112067.8592,109744.4708,108772.325,109382.5517,110906.165,,,,,1,5,0.64 ,2.12 ,0,2774,3542,56.16 ,57.23 ,45.82 ,0.23 ,0.72 ,1.34 ,-1,424.43 ,553.72 
2025-07-10T22:00:00+09:00,110822.10 ,110994.10 ,110450.00 ,110761.10 ,111810.9977,110167.2023,108793.238,109434.4033,110989.1,,,,,1,5,0.69 ,2.07 ,0,5515,3643,54.93 ,56.89 ,44.68 ,0.32 ,0.71 ,1.32 ,-1,378.51 ,524.44 
2025-07-10T23:00:00+09:00,110761.10 ,111265.00 ,110600.00 ,111195.10 ,111525.0335,110624.0765,108814.469,109491.9583,111074.555,,,,,1,5,0.30 ,2.45 ,0,5391,3713,61.42 ,58.68 ,43.11 ,0.41 ,0.71 ,1.32 ,1,372.85 ,496.72 
2025-07-11T00:00:00+09:00,111195.10 ,111356.10 ,110906.70 ,111340.90 ,111423.9672,110688.3428,108836.12,109549.9717,111056.155,,,112000,,1,5,0.17 ,2.58 ,0,4265,2546,63.33 ,59.25 ,41.25 ,0.41 ,0.66 ,1.23 ,1,375.79 ,470.60 
2025-07-11T01:00:00+09:00,111340.90 ,112668.20 ,111274.30 ,112580.00 ,111883.1229,110418.7771,108860.6315,109626.4983,111150.95,,,,,1,6,0.93 ,3.65 ,0,14726,2810,74.77 ,63.66 ,39.70 ,0.68 ,0.63 ,1.17 ,-1,472.66 ,457.12 
2025-07-11T02:00:00+09:00,112580.00 ,113752.00 ,112520.00 ,113673.10 ,112598.5653,109991.8347,108891.151,109718.3567,111295.2,,,,,1,6,1.89 ,4.58 ,0,11171,3186,80.54 ,66.89 ,38.79 ,0.81 ,0.62 ,1.15 ,-1,630.36 ,463.27 
2025-07-11T03:00:00+09:00,113673.10 ,113700.00 ,112951.50 ,113387.70 ,112989.0418,109806.5682,108919.1865,109804.21,111397.805,,110450,,,1,6,1.64 ,2.59 ,0,5903,3380,75.67 ,65.34 ,38.42 ,0.76 ,0.61 ,1.15 ,-1,723.97 ,483.95 
2025-07-11T04:00:00+09:00,113387.70 ,113636.50 ,113055.50 ,113239.70 ,113277.8583,109722.4417,108948.185,109884.5167,111500.15,,,,,1,6,1.51 ,2.46 ,0,3876,3489,73.20 ,64.55 ,38.78 ,0.68 ,0.62 ,1.16 ,-1,777.26 ,514.05 
2025-07-11T05:00:00+09:00,113239.70 ,113527.70 ,113206.50 ,113429.80 ,113567.0643,109689.7457,108978.6265,109971.6267,111628.405,,,,,1,6,1.68 ,2.63 ,0,1828,3502,74.36 ,65.10 ,39.98 ,0.55 ,0.62 ,1.16 ,-1,825.31 ,553.46 
